Year,age2,age3,age4,age5,CU,CU_Names
1989,0.000166438,0.026561882,0.248348388,0.724923292,1,Southwest_Vancouver_Island
1990,0.000793688,0.043857786,0.582874857,0.372473669,1,Southwest_Vancouver_Island
1991,0.003768793,0.199650284,0.232593098,0.563987825,1,Southwest_Vancouver_Island
1992,0.080122956,0.117845267,0.585670295,0.216361482,1,Southwest_Vancouver_Island
1993,0.052420443,0.225304935,0.420919262,0.301355359,1,Southwest_Vancouver_Island
1994,0.054669815,0.112470809,0.40551944,0.427339935,1,Southwest_Vancouver_Island
1995,0.013328243,0.104110163,0.460252659,0.422308935,1,Southwest_Vancouver_Island
1996,0.006275523,0.087002323,0.47811806,0.428604095,1,Southwest_Vancouver_Island
1997,0.004423432,0.298028937,0.607730132,0.089817499,1,Southwest_Vancouver_Island
1998,0.052348636,0.396420924,0.327498167,0.223732273,1,Southwest_Vancouver_Island
1999,0.065678564,0.040622812,0.306662711,0.587035912,1,Southwest_Vancouver_Island
2000,0.009823022,0.079693595,0.679054737,0.231428647,1,Southwest_Vancouver_Island
2001,0.016525186,0.283456318,0.396738274,0.303280222,1,Southwest_Vancouver_Island
2002,0.014276357,0.158729412,0.637173347,0.189820884,1,Southwest_Vancouver_Island
2003,0.0202424,0.185155602,0.360007031,0.434594967,1,Southwest_Vancouver_Island
2004,0.013243428,0.127211535,0.384783708,0.474761329,1,Southwest_Vancouver_Island
2005,0.010276504,0.331349926,0.285801524,0.372572045,1,Southwest_Vancouver_Island
2006,0.013177477,0.118052038,0.727141777,0.141628708,1,Southwest_Vancouver_Island
2007,0.020564483,0.176370933,0.386108177,0.416956407,1,Southwest_Vancouver_Island
2008,0.029767137,0.035384899,0.358085539,0.576762425,1,Southwest_Vancouver_Island
2009,0.014639494,0.066298235,0.810098818,0.108963453,1,Southwest_Vancouver_Island
2010,0.011674202,0.190272414,0.259848169,0.538205214,1,Southwest_Vancouver_Island
2011,0.015721918,0.078485444,0.767465216,0.138327421,1,Southwest_Vancouver_Island
2012,0.015373395,0.265394123,0.518577469,0.200655013,1,Southwest_Vancouver_Island
2013,0.004164641,0.087107053,0.684545141,0.224183165,1,Southwest_Vancouver_Island
2014,0.007998013,0.218936971,0.653164546,0.11990047,1,Southwest_Vancouver_Island
2015,0.021059616,0.461258337,0.4589361,0.058745947,1,Southwest_Vancouver_Island
1987,0.001848828,0.046176132,0.066184102,0.885790938,2,Nootka_Kyuquot
1988,0.012744436,0.014579185,0.628664105,0.344012274,2,Nootka_Kyuquot
1989,0.002254085,0.109462457,0.239287622,0.648995835,2,Nootka_Kyuquot
1990,0.004411367,0.033676196,0.237039998,0.724872439,2,Nootka_Kyuquot
1991,0.002936863,0.068607476,0.485618006,0.442837655,2,Nootka_Kyuquot
1992,0.010610341,0.089939968,0.307425254,0.592024438,2,Nootka_Kyuquot
1993,0.021542269,0.03730275,0.45075538,0.490399601,2,Nootka_Kyuquot
1994,0.002070768,0.070557426,0.437085255,0.490286551,2,Nootka_Kyuquot
1995,0.011585907,0.177989792,0.56373633,0.246687971,2,Nootka_Kyuquot
1996,0.016221966,0.075241382,0.51832995,0.390206701,2,Nootka_Kyuquot
1997,0.001978641,0.141390103,0.572795355,0.283835902,2,Nootka_Kyuquot
1998,0.01031923,0.230184575,0.408191412,0.351304784,2,Nootka_Kyuquot
1999,0.03681412,0.027600651,0.366328922,0.569256306,2,Nootka_Kyuquot
2000,0.023347697,0.092978392,0.346904552,0.536769359,2,Nootka_Kyuquot
2001,0.021326406,0.084465343,0.390848733,0.503359517,2,Nootka_Kyuquot
2002,0.008431406,0.095444618,0.578391801,0.317732175,2,Nootka_Kyuquot
2003,0.011469256,0.043683771,0.396493046,0.548353927,2,Nootka_Kyuquot
2004,0.002279962,0.090366845,0.510331534,0.397021659,2,Nootka_Kyuquot
2005,0.011372099,0.077965373,0.718404653,0.192257875,2,Nootka_Kyuquot
2006,0.008801088,0.123772918,0.607725391,0.259700603,2,Nootka_Kyuquot
2007,0.029957021,0.149402219,0.550202662,0.270438097,2,Nootka_Kyuquot
2008,0.013987487,0.046751359,0.381848942,0.557412212,2,Nootka_Kyuquot
2009,0.009665766,0.032621997,0.780798805,0.176913432,2,Nootka_Kyuquot
2010,0.006491057,0.115532235,0.265782154,0.612194554,2,Nootka_Kyuquot
2011,0.008717362,0.073307344,0.797172794,0.1208025,2,Nootka_Kyuquot
2012,0.015843504,0.304164243,0.394919941,0.285072312,2,Nootka_Kyuquot
2013,0.00386094,0.050815952,0.717690591,0.227632518,2,Nootka_Kyuquot
2014,0.004300823,0.178384923,0.635066867,0.182247387,2,Nootka_Kyuquot
2015,0.029643491,0.338783958,0.581379205,0.050193345,2,Nootka_Kyuquot
1987,0.111168653,0.260231548,0.278032342,0.350567457,3,Northwest_Vancouver_Island
1988,0.021478151,0.087862764,0.188523809,0.702135275,3,Northwest_Vancouver_Island
1989,0.013377389,0.158361099,0.548451611,0.279809901,3,Northwest_Vancouver_Island
1990,0.003547062,0.072602693,0.168645752,0.755204494,3,Northwest_Vancouver_Island
1991,0.002419944,0.022406141,0.1829207,0.792253215,3,Northwest_Vancouver_Island
1992,0.007338866,0.075640261,0.671463365,0.245557508,3,Northwest_Vancouver_Island
1993,0.025968127,0.199360397,0.368698296,0.405973181,3,Northwest_Vancouver_Island
1994,0.034710028,0.070688916,0.391984845,0.502616211,3,Northwest_Vancouver_Island
1995,0.007380014,0.088659135,0.476905231,0.42705562,3,Northwest_Vancouver_Island
1996,0.006819232,0.115032839,0.616942272,0.261205657,3,Northwest_Vancouver_Island
1997,0.006040076,0.3971549,0.382497977,0.214307046,3,Northwest_Vancouver_Island
1998,0.050522159,0.1806966,0.565925682,0.20285556,3,Northwest_Vancouver_Island
1999,0.029579765,0.069358257,0.274724195,0.626337783,3,Northwest_Vancouver_Island
2000,0.014451997,0.061519659,0.624314301,0.299714043,3,Northwest_Vancouver_Island
2001,0.011183176,0.228461461,0.450424893,0.30993047,3,Northwest_Vancouver_Island
2002,0.00998873,0.156437822,0.565254275,0.268319173,3,Northwest_Vancouver_Island
2003,0.01825742,0.150319789,0.465705905,0.365716887,3,Northwest_Vancouver_Island
2004,0.006368215,0.097468727,0.191785177,0.70437788,3,Northwest_Vancouver_Island
2005,0.009078481,0.190420727,0.488904339,0.311596453,3,Northwest_Vancouver_Island
2006,0.007803438,0.208093825,0.626653816,0.157448922,3,Northwest_Vancouver_Island
2007,0.04822277,0.202201451,0.571013086,0.178562693,3,Northwest_Vancouver_Island
2008,0.100950311,0.154799073,0.45362836,0.290622256,3,Northwest_Vancouver_Island
2009,0.102472838,0.134384035,0.653133868,0.110009259,3,Northwest_Vancouver_Island
2010,0.014571088,0.094462423,0.161542609,0.72942388,3,Northwest_Vancouver_Island
2011,0.006606299,0.041297713,0.880359851,0.071736136,3,Northwest_Vancouver_Island
2012,0.010095856,0.379952492,0.335644713,0.274306939,3,Northwest_Vancouver_Island
2013,0.004565045,0.043166712,0.716503566,0.235764678,3,Northwest_Vancouver_Island
2014,0.003386751,0.19581274,0.586953806,0.213846702,3,Northwest_Vancouver_Island
2015,0.014544023,0.320064714,0.632042295,0.033348968,3,Northwest_Vancouver_Island
1985,0.009642763,0.452232992,0.429715375,0.10840887,4,Westcoast_Vancouver_Island
1986,0.185736752,0.034046708,0.657156152,0.123060389,4,Westcoast_Vancouver_Island
1987,0.06048906,0.851047079,0.03139525,0.057068611,4,Westcoast_Vancouver_Island
1988,0.115256724,0.207394837,0.667766237,0.009582202,4,Westcoast_Vancouver_Island
1989,0.008460353,0.072845326,0.115695153,0.802999169,4,Westcoast_Vancouver_Island
1990,0.032814021,0.109982199,0.35053789,0.50666589,4,Westcoast_Vancouver_Island
1991,0.024947836,0.172816287,0.231033124,0.571202753,4,Westcoast_Vancouver_Island
1992,0.007463768,0.207305581,0.441008655,0.344221997,4,Westcoast_Vancouver_Island
1993,0.004818132,0.092681633,0.409350135,0.4931501,4,Westcoast_Vancouver_Island
1994,0.016642902,0.062797888,0.375663753,0.544895458,4,Westcoast_Vancouver_Island
1995,0.078712342,0.072060543,0.218369851,0.630857263,4,Westcoast_Vancouver_Island
1996,0.048967277,0.234757291,0.368962303,0.347313129,4,Westcoast_Vancouver_Island
1997,0.008095227,0.238532316,0.590641596,0.162730861,4,Westcoast_Vancouver_Island
1998,0.003626398,0.05948436,0.5776617,0.359227542,4,Westcoast_Vancouver_Island
1999,0.000770577,0.032801421,0.232323244,0.734104757,4,Westcoast_Vancouver_Island
2000,0.049180324,0.12122911,0.454330323,0.375260243,4,Westcoast_Vancouver_Island
2001,0.092468993,0.422064212,0.259118912,0.226347883,4,Westcoast_Vancouver_Island
2002,0.036118827,0.113828976,0.734762457,0.11528974,4,Westcoast_Vancouver_Island
2003,0.020718558,0.087722732,0.597138203,0.294420507,4,Westcoast_Vancouver_Island
2004,0.00699849,0.125566273,0.29634447,0.571090767,4,Westcoast_Vancouver_Island
2005,0.029039701,0.161212281,0.445630382,0.364117636,4,Westcoast_Vancouver_Island
2006,0.003774093,0.180485515,0.4966762,0.319064192,4,Westcoast_Vancouver_Island
2007,0.016606346,0.096100568,0.64757062,0.239722466,4,Westcoast_Vancouver_Island
2008,0.010466794,0.199899898,0.239771711,0.549861597,4,Westcoast_Vancouver_Island
2009,0.065648056,0.159610279,0.516340209,0.258401456,4,Westcoast_Vancouver_Island
2010,0.037144708,0.326461495,0.511879712,0.124514085,4,Westcoast_Vancouver_Island
2011,0.021881612,0.078899161,0.802328299,0.096890928,4,Westcoast_Vancouver_Island
2012,0.054889123,0.065485986,0.470197687,0.409427204,4,Westcoast_Vancouver_Island
2013,0.013537906,0.409747292,0.357400722,0.219314079,4,Westcoast_Vancouver_Island
2014,0.064655172,0.114224138,0.740301724,0.080818966,4,Westcoast_Vancouver_Island
2015,0.006134969,0.483895706,0.292944785,0.21702454,4,Westcoast_Vancouver_Island
2016,0.005404177,0.151372064,0.804010796,0.039212963,4,Westcoast_Vancouver_Island
2017,0.024693324,0.102188316,0.634993456,0.238124905,4,Westcoast_Vancouver_Island
2018,0.032943371,0.416876968,0.279617545,0.270562116,4,Westcoast_Vancouver_Island
2019,0.055641422,0.270479134,0.608964451,0.064914992,4,Westcoast_Vancouver_Island
